sku,nombre,unidad_medida,precio,descripcion,imagen_url,stock_actual
32169,Limpiatodo Antibacterial Lavanda Daryza x 3.8 L,3.8 L,13.50,"Puede usarlo en pisos, paredes, mesas, ventanas y todo tipo de superficies lavables.",https://daryza.com/wp-content/uploads/2024/03/32169.jpg,44
2380,Desatorador Extra Forte Daryza x 3.8 L,3.8 L,59.90,"Actúa de forma rápida. No deja residuos tóxicos. Elimina los malos olores por su naturaleza alcalina y remueve suciedades altamente difíciles. Fácilmente diluible en agua. Limpia, desengrasa y elimina restos de comida, papel, algodón, plásticos, grasa y cabellos.",https://daryza.com/wp-content/uploads/2021/04/2380.jpg,67
33794,Detergente Líquido para Ropa Floral Daryza x 4 L,4 L,40.20,S/ 40.20,https://daryza.com/wp-content/uploads/2025/02/33794.png,17
30632,Bolsas Para Basura Negras 75 Litros Paquete x 100 Unidades,75 L,39.90,S/ 39.90,https://daryza.com/wp-content/uploads/2024/10/30632.jpg,5
30184,Desinfectante DAC5 Concentrado Daryza x 5 Litros + Tapa Medidora GRATIS,5 L,53.90,S/ 53.90,https://daryza.com/wp-content/uploads/2024/09/30041.jpg,122
30627,Bolsas Para Basura Negras 240 Litros Paquete x 10 Unidades,240 L,10.90,S/ 10.90,https://daryza.com/wp-content/uploads/2024/10/30627.jpg,29
32322,Jabón Líquido Para Manos Antibacterial Frutos Rojos Daryza x 4 L,4 L,29.40,"Humedezca las manos y aplique suficiente jabón. Restregar las palmas y dorsos de las manos, entrelazar los dedos, restregar las uñas y pulgares rotándolos en las palmas durante 20 segundos. Finalmente enjuague y seque.",https://daryza.com/wp-content/uploads/2024/06/32322.jpg,269
10516,Desengrasante Forte x Galón + Esponja Poderosa Acero Inoxidable 2000 – 3M,UND,29.90,"El dúo perfecto para la limpieza de grasas, aceite de origen animal y vegetal. Remueve con facilidad la adherencia a superficies lisas y porosas, acompañada de una esponja diseñada para retirar la suciedad y la grasa de las superficies de acero inoxidable sin dañar la superficie.",https://daryza.com/wp-content/uploads/2023/08/Pack-4.png,21
10521,Lavavajilla Biodegradable Limón X Galón + Guante Profesional C-25 Talla 8,UND,29.90,"Modo de empleo Retirar residuos orgánicos en platos y menajes Incorpore un poco de agua, genere espuma y lave. Guante Profesional Industrial Calibre 25 Talla 8",https://daryza.com/wp-content/uploads/2024/09/10521.png,24
10513,Pack Dispensador Gris + Servilletas Tork,PAQ,38.50,S/ 38.50,https://daryza.com/wp-content/uploads/2022/09/PACK-TORK-GRIS.jpg,52
1202,Esponja poderosa acero inoxidable 2000 70070724235 3M,UND,5.00,"Limpia hasta 4 veces mayor y es hasta 8 veces menos abrasiva, lo cual posibilita su uso en superficies delicadas como acero inoxidable.",https://daryza.com/wp-content/uploads/2024/07/1202-web.jpg,1838
29920,Alcohol Etilico al 96° Daryza x 3.8 L,3.8 L,62.90,"Antiséptico. Limpia, desengrasa y desinfecta las superficies. Uso externo.",https://daryza.com/wp-content/uploads/2021/05/29920.jpg,56
30771,Lavavajilla Liquido Neutro Daryza x 3.8 L,3.8 L,29.90,"Modo de empleo Retirar residuos organicos en platos y menajes Aplicar una pequeña porción sobre una esponja doble uso Incorpore un poco de agua, genere espuma y lave.",https://daryza.com/wp-content/uploads/2021/04/30771-1.jpg,137
30095,Esponja Cero Rayas Scotch Brite 70007000220 3M,UND,4.30,"Aplicaciones Siempre pruebe en una zona poco visible de la superficie a limpiar antes del primer uso. Trabajos de limpieza ligero en superficies como: • Acero Inoxidable, cromo y cobre • Porcelana y cerámica Instrucciones generales de uso Se puede utilizar húmeda o seca. 1. Sujete la fibra con una mano. 2. Coloque fibra de cualquiera de los lados contra la superficie a limpiar, aplique la presión deseada y frote el área en movimiento circular. 3. Enjuague las áreas limpias con agua limpia o limpie con un paño limpio y húmedo. 4. Limpie la fibra según sea necesario después de su uso. Limpieza de almohadillas por lavaplatos 1. Rocíe o enjuague el exceso de restos de alimentos de la fibra con el rociador de platos o el grifo del fregadero. Retire los desechos de alimentos pegados, como el que",https://daryza.com/wp-content/uploads/2024/10/30095.jpg,164
33182,Desinfectante Antibacterial Manzana Daryza x 3.8 L,3.8 L,16.50,"Facilita la limpieza de pisos, cerámicos y todas las superficies lavables, dejando un agradable y persistente fragancia. Elaborado con amonio cuaternario. Elimina gérmenes y bacterias: Escherichia coli, Pseudomonas aeruginosa, Staphylococcus aureus y Salmonella. El agente germicida presente brinda baja toxicidad y es eco amigable, convirtiéndolo en un producto de limpieza de manejo seguro. Cyber Julio",https://daryza.com/wp-content/uploads/2024/06/308.jpg,61
32323,Jabón Líquido Para Manos Antibacterial Campos de Lavanda Daryza x 4 L,4 L,29.40,"Humedezca las manos y aplique suficiente jabón. Restregar las palmas y dorsos de las manos, entrelazar los dedos, restregar las uñas y pulgares rotándolos en las palmas durante 20 segundos. Finalmente enjuague y seque.",https://daryza.com/wp-content/uploads/2024/06/32323.jpg,51
33650,Acido Bio Daryza x 2000 gr,2000 G,28.90,"Excelentes características de limpieza. Seguro para la salud de los usuarios, instalaciones y medio ambiente. Sus sales resultantes son de rápido enjuague.",https://daryza.com/wp-content/uploads/2024/06/5335.jpg,147
31218,Suavizante Libre Enjuague Aroma Floral Daryza x 3.8 L,80 ML,27.90,"Lavado a mano: Disuelva 80 ml. de suavizante libre enjuague en 10 L de agua. Sumerja la ropa recién lavada en la solución por unos minutos. Finalmente exprima y ponga a secar como de costumbre. Lavado en Lavadora: Vierta el contenido en el dispensador de suavizante de su lavadora. Si no tuviera dispensador de suavizante, diluya 80 ml. en un poco de agua y agregue la solución en el último ciclo de lavado",https://daryza.com/wp-content/uploads/2024/09/31218.jpg,169
10524,Pack Lavandería Daryza,UND,69.90,Pack Daryza ideal para el lavado de ropa.,https://daryza.com/wp-content/uploads/2023/10/Pack-Lavanderia.png,49
1204,Limpiador de Acero Inoxidable Spray x 21 ONZ 61500061322 3M,UND,45.90,•Limpia y brilla en un solo paso. •No deja un acabado grasoso sobre la superficie. •Tiene fragancia agradable. •Agradable fragancia cítrica •Deja una película protectora ligera •Enmascara imperfecciones •Disminuye acumulación de suciedad •Reduce la impresión o marcas de dedos sobre las superficies limpias. •Certificación NSF® para uso en plantas procesadoras de carne y aves,https://daryza.com/wp-content/uploads/2021/12/1204_1.png,50
441,Lejía Concentrada 7.5% Daryza x 19 L,14 ML,62.90,"Instrucciones de uso: Retirar el polvo de la superficie con un paño, esparcir uniformemente la lejía sobre la superficie y dejar actuar por el lapso de 1 minuto. Luego enjuague y seque. Para limpieza y desinfección diaria de superficies: Diluya 14ml de lejía 7.5% en 986ml de agua. Para desinfección extrema: Use el producto puro y sin diluir.",https://daryza.com/wp-content/uploads/2020/07/441.jpg,24
395,Alcohol Isopropílico al 99° Daryza x 3.8 L,3.8 L,109.00,"Elimina suciedad, polvo y grasa adherida sobre las superficies. Tienen un gran poder de desinfección y es un excelente desengrasante. Es un producto que se puede diluir sin dificultad con el agua. Muy útil en el ámbito de limpieza doméstica e industrial.",https://daryza.com/wp-content/uploads/2024/06/395.jpg,84
30778,Alcohol Isopropílico al 99° Daryza x 650 ml,650 ML,19.00,"Elimina suciedad, polvo y grasa adherida sobre las superficies. Tienen un gran poder de desinfección y es un excelente desengrasante. Es un producto que se puede diluir sin dificultad con el agua. Muy útil en el ámbito de limpieza doméstica e industrial.",https://daryza.com/wp-content/uploads/2024/06/30778.png,107
4846,Pañuelo Facial Kleenex Triple Hoja / KCP 30229189,PAQ,5.60,S/ 5.60,https://daryza.com/wp-content/uploads/2024/10/4846.jpg,26
440,Lejía Concentrada 7.5% Daryza x 3.8 L,3.8 L,15.50,"Producto de naturaleza germicida de amplio espectro, elimina el 99.9% de gérmenes y bacterias: Escherichia coli, Staphylococcus aureus, Pseudomonas aerugimosa, Salmonella S.P.",https://daryza.com/wp-content/uploads/2020/07/440-1.jpg,23
1814,Recogedor de Plástico Azul – 7750160110233,UND,9.90,S/ 9.90,https://daryza.com/wp-content/uploads/2021/09/Recogedor-de-basura-azul.jpg,62
32177,Quita Sarro Daryza x 3.8 L,3.8 L,19.90,"MODO DE USO: Use guantes si se va aplicar puro. Para Pisos: Diluya el producto 1:1 y vierta uniformemente el producto con una escoba o escobilla, esparza en toda el área, deje actuar por 5 minutos, refriegue y enjuague. Griferías, bañeras y aros: Aplique el producto en una esponja o paño y frote hasta que las manchas desaparezcan. Para Baños y Urinarios: Aplique el producto a los bordes y paredes interiores con un atomizador. Deje actuar por 1 minuto y enjuague. No se recomienda aplicar sobre partes cromadas, aluminio y fierro.",https://daryza.com/wp-content/uploads/2024/11/32177.jpg,98
30494,Servilleta Plus Blanca 550 Hojas,550 HOJAS,16.20,"Su empaque y dispensador mantienen las servilletas cubiertas y gracias al sistema de dispensado una a una, el usuario solo tiene contacto con la servilleta que va a usar, conservando la higiene. Menor consumo de servilletas, gracias a su sistema de dispensado y a la calidad del producto que brinda excelente absorción y resistencia. Ideal para restaurantes con servicio a la mesa que buscan brindar bienestar a sus usuarios ofreciendo las servilletas en cada mesa. Sus dispensadores de colores Plus 500 brindan estilo, ayudando a exaltar la buena imagen del lugar.",https://daryza.com/wp-content/uploads/2024/06/30494.jpg,13
10506,Pack Lavavajilla Manzana + Desengrasante Forte,UND,50.80,S/ 59.80 El precio original era: S/59.80. S/ 50.80 El precio actual es: S/50.80.,https://daryza.com/wp-content/uploads/2024/09/120112.png,13
487,Hisopo WC Estrella Plástico con Base Blanco – 7750160418513,UND,7.90,S/ 7.90,https://daryza.com/wp-content/uploads/2021/09/Hisopo-estrella-blanco-1.jpg,93
32691,Detergente Multiusos Desengrasante sin Aroma PQP x 1 Kilo,UND,8.30,S/ 9.40 El precio original era: S/9.40. S/ 8.30 El precio actual es: S/8.30.,https://daryza.com/wp-content/uploads/2024/07/32691.jpg,19
30631,Bolsas para Basura Negras 140 Litros Paquete x 10 Unidades,140 L,6.90,S/ 6.90,https://daryza.com/wp-content/uploads/2024/10/30631.jpg,33
33669,Shampoo para Alfombras Daryza x 3.8 L,3.8 L,24.90,Formulado para una fácil aplicación de forma manual o por máquina. Despercude y elimina las manchas sin necesidad de enjuagar.,https://daryza.com/wp-content/uploads/2021/04/33669.jpg,19
31312,Servilleta Xpressnap Café Blanco 500 Hojas 200501- Familia,500 HOJAS,14.80,– Blanca – Línea Xpressnap Classic – Hoja Simple – Sistema N10 Código: 200501,https://daryza.com/wp-content/uploads/2024/06/31312.jpg,8
33097,Cloro Daryza x 3.8 L,3.8 L,15.50,S/ 15.50,https://daryza.com/wp-content/uploads/2024/09/33097.jpg,139
30705,Papel Higiénico Suave Doble Hoja X 15 MT / 30242657 KCP x 20 Uni,PAQ,27.90,S/ 27.90,https://daryza.com/wp-content/uploads/2022/07/30705.jpg,61
33184,Desinfectante Antibacterial Neutro Daryza x 3.8 L,3.8 L,16.50,"Facilita la limpieza de pisos, cerámicos y todas las superficies lavables, dejando un agradable y persistente fragancia. Elaborado con amonio cuaternario. Elimina gérmenes y bacterias: Escherichia coli, Pseudomonas aeruginosa, Staphylococcus aureus y Salmonella. El agente germicida presente brinda baja toxicidad y es eco amigable, convirtiéndolo en un producto de limpieza de manejo seguro.",https://daryza.com/wp-content/uploads/2024/10/311.jpg,109
8243,Dispensador Servilleta Gris,PAQ,23.00,Dispensador de servilleta con diseño y color que brindan estilo y buena imagen a tu negocio. Controla el consumo de servilletas gracias a su dispensado 1 a 1. Solo se toca la servilleta que se va a usar conservando una mayor higiene. * Código de Servilletas: 30493,https://daryza.com/wp-content/uploads/2024/06/8243.jpg,5
1167,Aromatizador Lavanda Spray X 360 ML – Sapolio,360 ML,7.90,S/ 7.90,https://daryza.com/wp-content/uploads/2023/05/1167.jpg,11
32448,Lavavajilla en Pasta Triple Poder Limón Daryza x 800 gr,800 G,5.90,"Modo de Uso: Aplicar una pequeña cantidad de lavavajillas en pasta sobre una esponja húmeda. Frotar los platos y utensilios para eliminar fácilmente la grasa. Luego, enjuagar con abundante agua. ** Neutraliza olores de: pescado, ajo, grasas, condimentos fuertes y olores orgánicos.",https://daryza.com/wp-content/uploads/2024/12/32448.jpg,727
10522,Lavavajilla Biodegradable Manzana X Galón + Guante Profesional C-25 Talla 8,UND,29.90,"Modo de empleo Retirar residuos orgánicos en platos y menajes Incorpore un poco de agua, genere espuma y lave. Guante Profesional Industrial Calibre 25 Talla 8",https://daryza.com/wp-content/uploads/2024/09/10522.png,26
33795,Suavizante Libre Enjuague Aroma Floral Daryza x 4 L,80 ML,29.40,"Lavado a mano: Disuelva 80 ml. de suavizante libre enjuague en 10 L de agua. Sumerja la ropa recién lavada en la solución por unos minutos. Finalmente exprima y ponga a secar como de costumbre. Lavado en Lavadora: Vierta el contenido en el dispensador de suavizante de su lavadora. Si no tuviera dispensador de suavizante, diluya 80 ml. en un poco de agua y agregue la solución en el último ciclo de lavado",https://daryza.com/wp-content/uploads/2025/02/33795.png,62
30638,Bolsas Para Basura Negras 25 Litros Paquete x 100 unidades,25 L,14.90,S/ 14.90,https://daryza.com/wp-content/uploads/2024/10/30639.jpg,43
32606,Limpiavidrios Antibacterial Brisa Daryza Gatillo x 1 L,1 L,10.90,Producto de secado rápido. Evita el opacamiento de superficies y la formación de rayas.,https://daryza.com/wp-content/uploads/2022/03/32606.jpg,78
32170,Limpiatodo Antibacterial Floral Daryza x 3.8 L,3.8 L,13.50,"Puede usarlo en pisos, paredes, mesas, ventanas y todo tipo de superficies lavables.",https://daryza.com/wp-content/uploads/2024/03/32170.jpg,48
10523,Pack Detergente Líquido Daryza 4 Lt + Suavizante Libre Enjuague Daryza 4 Lt,4 L,62.60,S/ 69.60 El precio original era: S/69.60. S/ 62.60 El precio actual es: S/62.60.,https://daryza.com/wp-content/uploads/2025/04/Pack-detergente-y-suav-daryza-4L.png,90
7727,Dispensador Toalla de Manos en Rollo Precortada (83160),UND,51.30,S/ 60.40 El precio original era: S/60.40. S/ 51.30 El precio actual es: S/51.30.,https://daryza.com/wp-content/uploads/2024/06/7727.jpg,20
19526,Papel Toalla Kleenex Suprem MF X 150 HJS / 30228378 KCP,PAQ,12.80,S/ 12.80,https://daryza.com/wp-content/uploads/2024/07/19526.jpg,50
5649,Esponja Scotch Brite para griddle N° 746 70071593647 3M,UND,5.80,"Ideal para limpieza de parrillas con grasas muy adheridas, tiene muy alto contenido de mineral abrasivo. La Fibra cuenta con certificación HACCP",https://daryza.com/wp-content/uploads/2024/07/5649w.jpg,45
10520,Lavavajilla Biodegradable Neutro X Galón + Guante Profesional C-25 Talla 8,UND,29.90,"Modo de empleo Retirar residuos orgánicos en platos y menajes Incorpore un poco de agua, genere espuma y lave. Guante Profesional Industrial Calibre 25 Talla 8",https://daryza.com/wp-content/uploads/2024/09/10520.png,17
31200,Papel Higiénico Xtra1 DH Natural x 4 rollos de 200 mts / Familia Institucional,4 ROLLOS,54.10,"Dispensa una hoja a la vez, ayudando a reducir el consumo en un 50% en comparación a un Papel Higiénico Jumbo Hoja Sencilla Tradicional.",https://daryza.com/wp-content/uploads/2024/06/31200.jpg,79
5664,Alcohol Isopropílico al 53° Daryza x 3.8 L,3.8 L,69.00,"Elimina suciedad, polvo y grasa adherida sobre las superficies. Es un producto que se puede diluir sin dificultad con el agua. Muy útil en el ámbito de limpieza doméstica e industrial.",https://daryza.com/wp-content/uploads/2024/06/5664.jpg,64
241,Cera Acrilica Daryza x 3.8 L,3.8 L,26.90,"Su base acuosa posibilita ser aplicada sobre pisos de cemento, linóleums, cerámicos, graníticos, etc. Posee un buen poder antideslizante. Se recomienda especialmente para aquellos locales con servicio de mantenimiento continuo.",https://daryza.com/wp-content/uploads/2024/10/241.jpg,103
30628,Bolsas Para Basura Negras 220 Litros Paquete x 10 Unidades,220 L,9.90,S/ 9.90,https://daryza.com/wp-content/uploads/2024/10/30628.jpg,64
